Year,Land utilisation , Forests  , No Cultivation, Permanent Pastures & Grazing Lands,Misc Tree Crops & Groves, Culturable Waste,Fallow Lands ,  Current Fallows, Net Area Sown , Total cropped area
 2000-01 ,305195,69843,41235,10662,3445,13631,10267,14777,141336,185340
 2001-02 ,305127,69720,41329,10528,3453,13520,10534,15344,140700,188286
 2002-03 ,305357,69821,41637,10450,3443,13651,11967,22337,132051,174108
 2003-04 ,305566,69968,41982,10484,3383,13241,11313,14487,140708,189669
 2004-05 ,305587,69960,42228,10452,3364,13272,10878,14790,140642,191119
 2005-06 ,305445,69994,42323,10444,3391,13225,10696,14211,141162,192756
 2006-07 ,305650,70002,42726,10414,3364,13271,10516,15509,139848,192408
 2007-08 ,305610,70020,42701,10198,3413,13059,10329,14512,141377,195138
 2008-09 ,305586,70034,42862,10177,3356,12752,10286,14191,141929,195357
 2009-10 ,305611,70042,41546,13631,3351,12857,10484,15753,140022,192197
 2010-11 ,41235,54843,305195,13520,3453,13271,10662,13631,185340,14777
2011-12,41329,60720,305127,13651,3351,13241,10528,13520,188286,15344
2012-13,41637,49821,305357,13241,3391,12857,10450,13651,174108,22337
2013-14,41982,72668,305566,13272,3413,13225,10484,13241,189669,14487
2014-15,42228,72960,305587,13225,3383,13520,10452,13272,191119,14790
2015-16,42323,89994,305445,13271,3356,12752,10444,13225,192756,14211
2016-17,42726,79002,305650,13059,3364,13059,10414,13271,192408,15509
2017-18,42701,59052,305610,12752,3443,13651,10198,13059,195138,14512
2018-19,42862,69034,305586,12857,3445,13631,10177,12752,195357,14191
2019-20,42954,55042,42954,10149,3356,12857,10329,12857,192197,15753
